Method,True class,Feature,Modality,Mean absolute importance
LIME,Akira,disk__parent_is_dotnet,disk,0.026364516023363836
LIME,Akira,memory__total_processes,memory,0.02090722796358006
LIME,Akira,disk__parent_size,disk,0.012472430099790908
LIME,Akira,disk__parent_is_i386,disk,0.012294025662533103
LIME,Akira,memory__n_created_dll,memory,0.010789112722698668
LIME,Akira,disk__size_delta,disk,0.007343927821328919
LIME,Akira,network__n_public_service_domains,network,0.006028061201368703
LIME,Akira,memory__n_registry_hklm,memory,0.0057019619528703176
LIME,Akira,disk__path_len,disk,0.004698841891634805
LIME,Akira,network__n_unique_ips,network,0.0041920382096776055
LIME,Akira,disk__parent_sections,disk,0.004134281576015
LIME,Akira,network__n_unique_tlds,network,0.0038355157744570057
LIME,Akira,network__avg_domain_len,network,0.0036166733039790255
LIME,Akira,memory__n_created_tmp,memory,0.0033041303400275753
LIME,Akira,network__n_public_ips,network,0.0032113406404380056
LIME,Akira,network__mean_domain_entropy,network,0.002880082353232022
LIME,Akira,memory__path_len,memory,0.002817334986298375
LIME,Akira,memory__modules_count,memory,0.0027310688712789896
LIME,Akira,network__domains_per_conn,network,0.002197689567942981
LIME,Akira,memory__path_entropy,memory,0.0021595851174497746
LIME,Akira,disk__parent_is_gui,disk,0.0
LIME,AsyncRAT,memory__total_processes,memory,0.01872414087938296
LIME,AsyncRAT,disk__parent_size,disk,0.015494738111865986
LIME,AsyncRAT,disk__parent_is_dotnet,disk,0.014817885260773819
LIME,AsyncRAT,memory__n_created_dll,memory,0.013521995351151183
LIME,AsyncRAT,disk__path_len,disk,0.0097628319152742
LIME,AsyncRAT,memory__n_created_tmp,memory,0.008387765158295462
LIME,AsyncRAT,network__n_public_ips,network,0.007535858435393785
LIME,AsyncRAT,disk__parent_is_i386,disk,0.006634497937976695
LIME,AsyncRAT,network__avg_domain_len,network,0.006052496856019584
LIME,AsyncRAT,memory__modules_count,memory,0.005781993632726528
LIME,AsyncRAT,network__mean_domain_entropy,network,0.005676314375145828
LIME,AsyncRAT,network__n_unique_ips,network,0.005358332718283421
LIME,AsyncRAT,memory__n_registry_hklm,memory,0.005128796371697067
LIME,AsyncRAT,network__n_unique_tlds,network,0.004064155512855227
LIME,AsyncRAT,memory__path_len,memory,0.003969563499572396
