Method,Feature,Modality,Mean absolute importance
LIME,memory__total_processes,memory,0.0695109996589845
LIME,memory__n_created_dll,memory,0.027922159363137085
LIME,network__n_public_ips,network,0.025751981228515363
LIME,network__n_unique_ips,network,0.02469284128382755
LIME,disk__parent_size,disk,0.0227227010665249
LIME,disk__parent_is_i386,disk,0.0204630686463254
LIME,disk__parent_is_dotnet,disk,0.019279294990956798
LIME,disk__size_delta,disk,0.01688790515466351
LIME,disk__parent_sections,disk,0.01367792057436903
LIME,network__avg_domain_len,network,0.010995861002983281
LIME,disk__path_len,disk,0.010818342226193142
LIME,memory__n_registry_hklm,memory,0.00936841880941321
LIME,memory__n_created_tmp,memory,0.00837136172007849
LIME,network__domains_per_conn,network,0.008157273230024898
LIME,network__mean_domain_entropy,network,0.007525151963762899
LIME,memory__modules_count,memory,0.0073172242606035645
LIME,network__n_public_service_domains,network,0.005870356700118019
LIME,memory__path_len,memory,0.005252874744534999
LIME,memory__path_entropy,memory,0.0052224250233473424
LIME,network__n_unique_tlds,network,0.005121570424394219
LIME,disk__parent_is_gui,disk,0.0
SHAP,disk__parent_size,disk,0.10372329501607994
SHAP,memory__total_processes,memory,0.09165580480630954
SHAP,disk__size_delta,disk,0.06102128287403954
SHAP,memory__n_created_dll,memory,0.05349699721557294
SHAP,disk__parent_sections,disk,0.04560375693880874
SHAP,disk__parent_is_i386,disk,0.04066654807766464
SHAP,disk__parent_is_dotnet,disk,0.0403314104725256
SHAP,disk__path_len,disk,0.0335810557904831
SHAP,network__n_public_ips,network,0.03100035526334234
SHAP,network__n_unique_ips,network,0.030521702909153046
SHAP,network__avg_domain_len,network,0.02717788905992164
SHAP,memory__n_registry_hklm,memory,0.026234005879466414
SHAP,memory__n_created_tmp,memory,0.02062345896007051
SHAP,network__mean_domain_entropy,network,0.020180414113280774
SHAP,memory__modules_count,memory,0.01666780680696117
SHAP,network__domains_per_conn,network,0.015879848984078963
SHAP,network__n_unique_tlds,network,0.00912427317017022
SHAP,memory__path_len,memory,0.009120931327650296
SHAP,memory__path_entropy,memory,0.008523085242358565
SHAP,disk__parent_is_gui,disk,0.005976538667255817
SHAP,network__n_public_service_domains,network,0.004889733200106832
SRC,network__avg_domain_len,network,0.10529682143022402
SRC,network__mean_domain_entropy,network,0.09977787364536697
SRC,disk__size_delta,disk,0.09878904679060202
SRC,network__domains_per_conn,network,0.0924591986157654
SRC,disk__parent_is_gui,disk,0.0810918742296759
SRC,disk__parent_size,disk,0.07970786327123733
SRC,disk__path_len,disk,0.07465276477395627
SRC,disk__parent_is_i386,disk,0.07217750739403293
SRC,memory__total_processes,memory,0.07166489226004218
SRC,memory__n_registry_hklm,memory,0.07118233604616057
SRC,memory__n_created_dll,memory,0.07063409322211758
SRC,disk__parent_sections,disk,0.06931301667991036
SRC,memory__modules_count,memory,0.06900050814743607
SRC,disk__parent_is_dotnet,disk,0.06676694387795698
SRC,memory__n_created_tmp,memory,0.0657545432674675
SRC,memory__path_len,memory,0.06306217016886455
SRC,memory__path_entropy,memory,0.059053850368750715
SRC,network__n_public_service_domains,network,0.05887250361002284
SRC,network__n_unique_tlds,network,0.0547818082198779
SRC,network__n_public_ips,network,0.040087737847834065
SRC,network__n_unique_ips,network,0.04008345559735908
