Dataset,Sample index,True class,Predicted class,True class name,Predicted class name,Correct,Method,Top features,Jaccard@10,Spearman,Cosine
Fused pseudo sensitivity,0,17,17,wannacry,wannacry,True,SHAP,network__n_public_ips=0.238817; network__n_unique_ips=0.228434; memory__total_processes=0.142855; memory__n_created_dll=0.0751348; disk__parent_size=0.0580124; disk__size_delta=0.0444286; network__domains_per_conn=0.0254908; memory__n_registry_hklm=0.0249593; disk__parent_is_i386=0.0209477; disk__parent_is_dotnet=0.0158585,0.8818181818181816,0.9580519480519479,0.9966896859730572
Fused pseudo sensitivity,0,17,17,wannacry,wannacry,True,LIME,network__n_unique_ips=0.181239; network__n_public_ips=0.178542; memory__total_processes=0.093106; memory__n_created_dll=0.0346308; disk__parent_is_i386=0.0289238; network__avg_domain_len=0.0219259; disk__parent_size=0.0165961; memory__n_registry_hklm=0.0154432; disk__parent_is_dotnet=0.0141483; disk__size_delta=0.0137363,0.7462703962703963,0.6765584415584416,0.8448846945653099
Fused pseudo sensitivity,0,17,17,wannacry,wannacry,True,SRC,disk__parent_size=0.0595704; memory__n_created_dll=0.00923106; disk__size_delta=0.00916053; network__domains_per_conn=0.00813399; network__mean_domain_entropy=0.00796264; disk__parent_is_i386=0.00717857; network__avg_domain_len=0.00629473; disk__parent_is_dotnet=0.00526061; memory__total_processes=0.00465224; network__n_public_service_domains=0.00287556,0.5558608058608059,0.5382467532467533,0.7658569158900517
Fused pseudo sensitivity,3,9,9,SalatStealer,SalatStealer,True,SHAP,memory__n_registry_hklm=0.0987784; memory__modules_count=0.081663; memory__n_created_tmp=0.0477055; memory__n_created_dll=0.0349756; memory__total_processes=0.0323682; disk__parent_is_dotnet=0.027325; disk__parent_size=0.0258016; network__domains_per_conn=0.0178348; disk__parent_is_i386=0.0168952; network__avg_domain_len=0.0136732,0.8560606060606061,0.9236363636363636,0.9931774413068872
Fused pseudo sensitivity,3,9,9,SalatStealer,SalatStealer,True,LIME,disk__parent_is_i386=0.051306; memory__total_processes=0.0429535; memory__modules_count=0.0290062; memory__n_created_tmp=0.0238962; memory__n_registry_hklm=0.0175936; memory__n_created_dll=0.0174043; network__n_unique_ips=0.0125124; network__n_public_ips=0.0100742; disk__parent_size=0.0100002; network__avg_domain_len=0.00795814,0.6536130536130534,0.6281168831168831,0.7264571009981102
Fused pseudo sensitivity,3,9,9,SalatStealer,SalatStealer,True,SRC,disk__size_delta=0.0816008; disk__parent_sections=0.0769675; disk__path_len=0.0628862; network__mean_domain_entropy=0.0553369; memory__n_registry_hklm=0.049704; memory__n_created_dll=0.0438328; memory__path_len=0.0426131; disk__parent_is_i386=0.0420719; network__avg_domain_len=0.0420257; disk__parent_size=0.0388142,0.4991966366966366,0.4378571428571429,0.8651981391505951
Fused pseudo sensitivity,6,2,2,Black Suit,Black Suit,True,SHAP,memory__total_processes=0.0595735; disk__parent_size=0.0531167; memory__n_registry_hklm=0.0426563; disk__parent_is_dotnet=0.0416123; disk__parent_is_i386=0.0209083; memory__n_created_tmp=0.0207541; memory__path_len=0.0206265; memory__modules_count=0.0200352; network__n_unique_ips=0.0169898; disk__parent_sections=0.0166996,0.772027972027972,0.8660389610389609,0.9678138456668444
Fused pseudo sensitivity,6,2,2,Black Suit,Black Suit,True,LIME,disk__parent_is_dotnet=0.0223678; memory__total_processes=0.0175826; disk__parent_size=0.0134556; memory__n_registry_hklm=0.0121319; disk__parent_is_i386=0.0115659; memory__n_created_dll=0.00960953; network__n_unique_ips=0.00647752; network__n_public_ips=0.0059813; disk__size_delta=0.00545302; disk__path_len=0.00513259,0.7144522144522144,0.6173376623376623,0.6021878216154494
Fused pseudo sensitivity,6,2,2,Black Suit,Black Suit,True,SRC,network__mean_domain_entropy=0.143109; disk__size_delta=0.142229; network__domains_per_conn=0.126017; disk__parent_is_dotnet=0.0661325; memory__n_created_tmp=0.0535802; network__avg_domain_len=0.0463413; memory__n_created_dll=0.0395088; disk__parent_is_i386=0.0362103; memory__n_registry_hklm=0.0318583; memory__path_len=0.024997,0.5994671994671994,0.598181818181818,0.9266087552258592
Fused pseudo sensitivity,7,6,6,NanoCore,NanoCore,True,SHAP,disk__parent_sections=0.0900506; disk__parent_is_i386=0.078872; disk__parent_size=0.0648858; memory__total_processes=0.061919; network__n_public_ips=0.0516533; network__n_unique_ips=0.0491084; memory__n_created_dll=0.0483061; disk__size_delta=0.0469104; disk__path_len=0.0432945; memory__n_created_tmp=0.0355863,0.8848484848484848,0.9010389610389609,0.9638445374701746
