Dataset,Sample index,True class,Predicted class,True class name,Predicted class name,Correct,Method,Top features,Jaccard@10,Spearman,Cosine
Fused pseudo sensitivity,15,0,2,Akira,Black Suit,False,LIME,disk__parent_is_dotnet=0.0221033; memory__total_processes=0.013898; disk__parent_size=0.0118079; disk__parent_is_i386=0.0110846; disk__size_delta=0.0104996; memory__n_created_dll=0.010117; memory__n_registry_hklm=0.00869896; network__mean_domain_entropy=0.00500897; network__n_public_service_domains=0.00413584; network__n_public_ips=0.00314794,0.6853146853146852,0.6041954306049898,0.4849083344566446
Fused pseudo sensitivity,15,0,2,Akira,Black Suit,False,SHAP,disk__size_delta=0.070727; disk__parent_size=0.0663628; disk__parent_is_dotnet=0.0558381; memory__n_created_dll=0.0381695; memory__n_created_tmp=0.0296822; memory__total_processes=0.025234; disk__parent_is_i386=0.0250525; disk__parent_sections=0.0206379; memory__path_len=0.0176903; network__avg_domain_len=0.0163569,0.7681818181818182,0.9279870129870128,0.978554849203289
Fused pseudo sensitivity,15,0,2,Akira,Black Suit,False,SRC,memory__n_created_tmp=0.18426; network__avg_domain_len=0.17832; disk__path_len=0.175465; disk__size_delta=0.149691; memory__modules_count=0.128165; disk__parent_size=0.113209; memory__n_registry_hklm=0.0767914; network__domains_per_conn=0.071507; memory__path_len=0.0608242; disk__parent_is_i386=0.0563992,0.8896103896103897,0.9064285714285714,0.9714055978735404
Fused pseudo sensitivity,167,2,5,Black Suit,MedusaLocker,False,LIME,disk__parent_is_dotnet=0.0352124; memory__total_processes=0.019328; disk__parent_size=0.0174337; disk__parent_is_i386=0.0156832; network__domains_per_conn=0.0139174; memory__n_created_dll=0.0121098; disk__size_delta=0.0104911; memory__n_created_tmp=0.0092949; disk__parent_sections=0.00792193; network__n_unique_tlds=0.00445683,0.7118881118881119,0.6720718736362379,0.6082651326951642
Fused pseudo sensitivity,167,2,5,Black Suit,MedusaLocker,False,SHAP,disk__parent_is_dotnet=0.0748675; disk__parent_size=0.0563258; disk__size_delta=0.0384835; network__n_unique_tlds=0.0258258; network__n_public_ips=0.0231082; memory__n_created_tmp=0.0223424; network__n_unique_ips=0.0219304; disk__parent_is_i386=0.0211076; disk__parent_sections=0.0207486; network__n_public_service_domains=0.0203791,0.7893939393939394,0.8129870129870129,0.9577938058049795
Fused pseudo sensitivity,167,2,5,Black Suit,MedusaLocker,False,SRC,memory__n_created_tmp=0.353066; memory__modules_count=0.133597; memory__total_processes=0.119085; network__domains_per_conn=0.0601392; network__avg_domain_len=0.0530777; disk__parent_is_dotnet=0.0526828; network__n_unique_tlds=0.0447608; disk__path_len=0.0420025; memory__n_created_dll=0.0403808; disk__parent_is_i386=0.0386071,0.5969030969030968,0.7223376623376622,0.914664563879289
Fused pseudo sensitivity,41,3,9,CoinMiner,SalatStealer,False,LIME,disk__parent_is_i386=0.0424303; memory__total_processes=0.03647; disk__parent_size=0.0300932; memory__n_registry_hklm=0.0201701; disk__size_delta=0.0181328; memory__modules_count=0.0120793; network__n_public_service_domains=0.011047; network__domains_per_conn=0.0108819; memory__n_created_tmp=0.0105154; disk__path_len=0.0104319,0.6153846153846152,0.6522167356764486,0.8231799636629595
Fused pseudo sensitivity,41,3,9,CoinMiner,SalatStealer,False,SHAP,disk__parent_size=0.0748281; disk__size_delta=0.0635345; memory__total_processes=0.0514478; disk__parent_is_i386=0.0482234; memory__n_registry_hklm=0.0384141; memory__modules_count=0.0319577; memory__n_created_dll=0.0211912; disk__parent_sections=0.0135038; memory__n_created_tmp=0.010766; disk__parent_is_dotnet=0.00959298,0.6742424242424241,0.938961038961039,0.9905920491730953
Fused pseudo sensitivity,41,3,9,CoinMiner,SalatStealer,False,SRC,memory__modules_count=0.229291; memory__total_processes=0.219891; network__avg_domain_len=0.210055; memory__n_created_dll=0.208802; memory__n_registry_hklm=0.183868; disk__size_delta=0.179517; network__n_unique_ips=0.178205; network__n_public_ips=0.178203; network__n_unique_tlds=0.175368; disk__parent_is_gui=0.168418,0.7591575091575091,0.6796103896103896,0.8951092242975452
Fused pseudo sensitivity,93,4,7,Kovter,Phorpiex,False,LIME,disk__parent_size=0.0440988; memory__total_processes=0.0380922; disk__size_delta=0.031068; disk__parent_is_dotnet=0.0178644; memory__n_created_dll=0.0102465; network__mean_domain_entropy=0.00983704; network__n_unique_ips=0.00881703; memory__n_registry_hklm=0.00645407; network__domains_per_conn=0.0063935; disk__parent_sections=0.00604256,0.5851648351648351,0.6407792207792207,0.8630630719641372
Fused pseudo sensitivity,93,4,7,Kovter,Phorpiex,False,SHAP,disk__parent_size=0.2468; disk__parent_is_gui=0.0661312; disk__parent_is_dotnet=0.0526221; disk__size_delta=0.0441756; memory__total_processes=0.03622; memory__n_registry_hklm=0.0217567; disk__parent_is_i386=0.0206092; memory__n_created_dll=0.0184613; network__avg_domain_len=0.0148145; disk__parent_sections=0.0120853,0.6876456876456876,0.8626623376623377,0.9175896508935508
Fused pseudo sensitivity,93,4,7,Kovter,Phorpiex,False,SRC,disk__parent_is_gui=4.01994; network__n_public_service_domains=1.30609; disk__parent_size=0.633755; disk__parent_is_dotnet=0.57589; disk__size_delta=0.516518; network__avg_domain_len=0.394624; network__n_unique_ips=0.278565; network__n_public_ips=0.278562; network__mean_domain_entropy=0.178946; memory__n_created_tmp=0.151615,0.8181818181818181,0.8793506493506493,0.9980364819276817
Fused pseudo sensitivity,86,5,2,MedusaLocker,Black Suit,False,LIME,disk__parent_is_dotnet=0.0226035; memory__total_processes=0.0149472; disk__parent_size=0.0126458; disk__parent_is_i386=0.0114947; disk__size_delta=0.00875577; memory__path_entropy=0.00785083; memory__n_created_dll=0.00751738; network__n_public_ips=0.00536222; disk__parent_sections=0.0052073; memory__n_registry_hklm=0.00435486,0.6789044289044288,0.6779617909297423,0.7726625039611976
Fused pseudo sensitivity,86,5,2,MedusaLocker,Black Suit,False,SHAP,disk__parent_size=0.0608452; disk__parent_is_dotnet=0.0536132; memory__modules_count=0.0286097; memory__n_created_tmp=0.0199691; disk__parent_is_i386=0.0186181; disk__parent_sections=0.0168393; disk__path_len=0.0158004; memory__path_len=0.0154264; memory__n_created_dll=0.0124383; memory__path_entropy=0.0117589,0.8575757575757577,0.7563636363636363,0.9125119298424792
Fused pseudo sensitivity,86,5,2,MedusaLocker,Black Suit,False,SRC,memory__modules_count=0.192352; disk__size_delta=0.14937; memory__path_entropy=0.145313; network__n_unique_tlds=0.101564; memory__n_created_tmp=0.0898414; memory__n_registry_hklm=0.0797822; memory__n_created_dll=0.0678901; memory__path_len=0.0675134; disk__path_len=0.0574434; disk__parent_size=0.0523991,0.7237595737595737,0.7125974025974027,0.8739784833027912
Fused pseudo sensitivity,45,6,1,NanoCore,AsyncRAT,False,LIME,disk__parent_size=0.0197003; disk__parent_is_dotnet=0.0178609; memory__total_processes=0.0148026; disk__parent_is_i386=0.00791383; disk__path_len=0.00747362; memory__n_created_dll=0.00721433; network__n_unique_ips=0.00567239; network__domains_per_conn=0.00429344; memory__path_entropy=0.00338842; memory__n_registry_hklm=0.00220449,0.4653846153846154,0.48603896103896105,0.6134751171609076
Fused pseudo sensitivity,45,6,1,NanoCore,AsyncRAT,False,SHAP,memory__n_created_dll=0.0543333; disk__parent_is_dotnet=0.0408253; disk__size_delta=0.0337217; memory__total_processes=0.0334108; disk__parent_is_i386=0.0322228; disk__parent_size=0.02714; disk__path_len=0.0258563; memory__n_registry_hklm=0.0153775; memory__n_created_tmp=0.0151041; disk__parent_sections=0.0124849,0.9090909090909092,0.8952597402597402,0.9020865445461377
Fused pseudo sensitivity,45,6,1,NanoCore,AsyncRAT,False,SRC,memory__total_processes=0.416999; disk__size_delta=0.219413; network__mean_domain_entropy=0.170451; memory__n_created_dll=0.156885; network__avg_domain_len=0.148919; network__domains_per_conn=0.0961765; memory__n_created_tmp=0.0682814; network__n_unique_tlds=0.0354262; memory__n_registry_hklm=0.0287543; disk__path_len=0.0235146,0.6107725607725608,0.6656493506493505,0.9211652883681725
