Dataset,Model,Class index,Class,Precision Mean,Precision Std,Precision CI95 Low,Precision CI95 High,Recall Mean,Recall Std,Recall CI95 Low,Recall CI95 High,F1 Mean,F1 Std,F1 CI95 Low,F1 CI95 High,Mean Support,Fold Count
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,0,Akira,0.045,0.09559753599799992,0.0,0.11000000000000001,0.08333333333333333,0.18002057495577392,0.0,0.2,0.05833333333333333,0.12453617650811051,0.0,0.14166666666666666,2.6,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,1,AsyncRAT,0.975,0.07905694150420949,0.925,1.0,0.95,0.10540925533894598,0.875,1.0,0.9571428571428571,0.06900655593423545,0.9142857142857143,1.0,3.7,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,2,Black Suit,0.30666666666666664,0.33977116482192016,0.11666666666666665,0.525,0.29166666666666663,0.2919971672448422,0.125,0.4666666666666666,0.2902380952380953,0.2974326400364165,0.12497023809523809,0.47333333333333333,3.1,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,3,CoinMiner,0.7666666666666667,0.31622776601683794,0.5666666666666667,0.9333333333333332,0.7,0.3220305943597653,0.4995833333333334,0.8666666666666666,0.7,0.2652741419180738,0.52,0.8266666666666668,2.4,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,4,Kovter,0.976388888888889,0.049884124989077704,0.9430208333333333,1.0,0.9160714285714286,0.09890629225952248,0.8571428571428571,0.9714285714285715,0.9410407239819005,0.050680251778818304,0.9087330316742083,0.9702760180995476,7.2,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,5,MedusaLocker,0.15666666666666665,0.2006471012979237,0.05333333333333333,0.27666666666666667,0.2333333333333333,0.31622776601683794,0.06666666666666667,0.4333333333333333,0.17888888888888888,0.22578623489555946,0.06493055555555556,0.32223611111111106,2.9,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,6,NanoCore,0.8863095238095238,0.12054122562355973,0.8101190476190476,0.9541666666666666,0.9261904761904762,0.0781252362052363,0.8809523809523808,0.9714285714285715,0.9022527472527473,0.0854952888882293,0.8465567765567765,0.9504249084249083,6.9,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,7,Phorpiex,0.9833333333333334,0.05270462766947298,0.95,1.0,0.9800000000000001,0.06324555320336758,0.9400000000000001,1.0,0.9797979797979798,0.042854956435548354,0.9525252525252526,1.0,5.5,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,8,QuasarRAT,0.9666666666666666,0.10540925533894599,0.9,1.0,0.85,0.24152294576982394,0.7,1.0,0.8800000000000001,0.15962919996504865,0.78,0.9666666666666666,2.1,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,9,SalatStealer,0.9589285714285716,0.06630963067444584,0.9178571428571429,1.0,0.9428571428571428,0.07377111135633178,0.9,0.9857142857142858,0.9482783882783883,0.04918219593420341,0.9186813186813187,0.9779487179487181,6.8,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,10,Socks5Systemz,1.0,0.0,1.0,1.0,0.95,0.15811388300841897,0.85,1.0,0.9666666666666666,0.10540925533894599,0.8999999999999998,1.0,2.0,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,11,Stealc,0.8333333333333334,0.12668615834434868,0.76,0.9066666666666666,1.0,0.0,1.0,1.0,0.9044444444444444,0.07484781083892816,0.8622222222222223,0.9466666666666667,3.9,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,12,a310logger,0.8666666666666666,0.14272480642961255,0.7833333333333333,0.95,0.8333333333333333,0.188398055086813,0.7166666666666666,0.9416666666666667,0.8280952380952382,0.10615238835769941,0.7666607142857144,0.893095238095238,3.6,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,13,agenttesla,0.7833333333333334,0.21942686286812776,0.6416666666666667,0.9083333333333332,0.75,0.22566773346211003,0.6166666666666667,0.8833333333333332,0.7380952380952381,0.1630677186839724,0.6380952380952382,0.8352619047619045,2.5,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,14,lockbit,0.7666666666666667,0.4172218523448575,0.5,1.0,0.7,0.4216370213557839,0.45,0.9,0.7133333333333333,0.4000617236328031,0.4666666666666666,0.9133333333333333,2.1,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,15,lumma,0.9800000000000001,0.04216370213557838,0.95,1.0,0.9277777777777778,0.06874337478989105,0.8866666666666667,0.9688888888888888,0.9518610251117992,0.045780355208179614,0.924248366013072,0.9783748710010318,9.6,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,16,redline,0.9265294092880302,0.03817577315392056,0.9048554446830309,0.9494453917729782,0.9615384615384615,0.03626188621469472,0.9384615384615385,0.9846153846153847,0.9434542326995159,0.03338169723511854,0.9244289484100805,0.9641366776130926,26.0,10
Fused pseudo sensitivity,Top-3 F1-weighted Soft Voting Ensemble,17,wannacry,0.990909090909091,0.02874797872880346,0.9727272727272727,1.0,0.9818181818181818,0.03833063830507128,0.9545454545454545,1.0,0.9861471861471862,0.030935474045279354,0.9675324675324675,1.0,11.5,10
