Dataset,Model,Fold,Accuracy,Balanced Accuracy,Precision (weighted),Recall (weighted),F1 (weighted),F1 (macro),AUC (OVR),AUPRC,MCC
Fused pseudo sensitivity,Logistic Regression,1,0.7714285714285715,0.7202720119386785,0.8176984126984127,0.7714285714285715,0.7824226956557785,0.6884385757192776,0.9798795582199102,0.7794670584046863,0.7519583801223364
Fused pseudo sensitivity,Logistic Regression,2,0.6761904761904762,0.6099562474562474,0.7759637188208617,0.6761904761904762,0.6953734522956491,0.5713462812719106,0.9637629299196594,0.6880634829804534,0.6492366344386993
Fused pseudo sensitivity,Logistic Regression,3,0.6761904761904762,0.6190815357482023,0.7288435374149661,0.6761904761904762,0.6873862753784084,0.5634065389175942,0.9676239242752387,0.7067806789302344,0.6465548129615116
Fused pseudo sensitivity,Logistic Regression,4,0.6442307692307693,0.5571493321493322,0.658868215118215,0.6442307692307693,0.6440164109394879,0.5319529852863186,0.9675219103025425,0.6900922231318688,0.6048550121570307
Fused pseudo sensitivity,Logistic Regression,5,0.7019230769230769,0.5519943019943021,0.7257288001853219,0.7019230769230769,0.7014062631507686,0.5416727452441739,0.9425064100903108,0.6494348228077634,0.6697395393440722
Fused pseudo sensitivity,Logistic Regression,6,0.7333333333333333,0.6224053724053724,0.7633452399912027,0.7333333333333333,0.7279057994160034,0.5829013843299558,0.9413269736906228,0.6625368835425541,0.7058209710469652
Fused pseudo sensitivity,Logistic Regression,7,0.6442307692307693,0.5978798978798978,0.75,0.6442307692307693,0.6702667876213843,0.5575917157217971,0.949469551861611,0.6108914055628626,0.6192795922272923
Fused pseudo sensitivity,Logistic Regression,8,0.6346153846153846,0.5736501153167819,0.707160931174089,0.6346153846153846,0.6518053284726508,0.5330620809521065,0.9440004926539092,0.6387715764264312,0.6019138155858602
Fused pseudo sensitivity,Logistic Regression,9,0.6538461538461539,0.5861721611721611,0.729811507936508,0.6538461538461539,0.6671536796536797,0.5441237774571106,0.9647338949745929,0.6773394870211834,0.6241004429484106
Fused pseudo sensitivity,Logistic Regression,10,0.6826923076923077,0.5850630850630851,0.7278846153846152,0.6826923076923077,0.6857496059910974,0.5508411688718594,0.9439689408839376,0.6429445394121891,0.6532538727506418
Fused pseudo sensitivity,Random Forest,1,0.9142857142857143,0.8498677248677249,0.9150793650793652,0.9142857142857143,0.9106924821210536,0.8418973002306335,0.9931505844427583,0.8791776895943563,0.9049793273673962
Fused pseudo sensitivity,Random Forest,2,0.8571428571428571,0.746011396011396,0.8476190476190476,0.8571428571428571,0.8482587680381077,0.7531644630900923,0.9889746061112589,0.8325210958509278,0.8397310550586314
Fused pseudo sensitivity,Random Forest,3,0.8952380952380953,0.8251763668430335,0.917233560090703,0.8952380952380953,0.892926806793571,0.8287668905458051,0.9908941609999792,0.8952945841783634,0.8836049147445794
Fused pseudo sensitivity,Random Forest,4,0.875,0.7803992303992303,0.8948946886446887,0.875,0.8751971543975592,0.796169522485312,0.9941985779081146,0.8900389878289755,0.8605550401919676
Fused pseudo sensitivity,Random Forest,5,0.9038461538461539,0.8035714285714285,0.8851076007326006,0.9038461538461539,0.8908557966250273,0.785868041423597,0.9916520684148702,0.8574484143091267,0.892510269999927
Fused pseudo sensitivity,Random Forest,6,0.8952380952380953,0.7722222222222223,0.8858311229000885,0.8952380952380953,0.8804016100858206,0.7844160907318801,0.9841744515127258,0.8247187830794745,0.8829980011722707
Fused pseudo sensitivity,Random Forest,7,0.8942307692307693,0.8097643097643098,0.9087454212454212,0.8942307692307693,0.8902010027010028,0.8198760087648976,0.9928411039409144,0.8740327157369596,0.8820727228349959
Fused pseudo sensitivity,Random Forest,8,0.8461538461538461,0.7366198616198616,0.8634526353276353,0.8461538461538461,0.8441330802724126,0.7462855453421491,0.988458505900009,0.8338036815229309,0.8282665396448791
Fused pseudo sensitivity,Random Forest,9,0.8461538461538461,0.787016687016687,0.847985347985348,0.8461538461538461,0.8439341997034304,0.7823822268266712,0.9914238013177291,0.8656974562729506,0.8274911783813496
Fused pseudo sensitivity,Random Forest,10,0.875,0.7484567901234568,0.8616414835164835,0.875,0.8643930813614072,0.7503656353329556,0.9891355520766734,0.8483351181275975,0.8602034062902982
Fused pseudo sensitivity,SVM (RBF),1,0.819047619047619,0.729633021299688,0.8337528344671201,0.819047619047619,0.8154039393535193,0.7327549538333852,0.9684170509488429,0.7699627659504658,0.7977491237609039
Fused pseudo sensitivity,SVM (RBF),2,0.7238095238095238,0.6011548636548637,0.7553102453102454,0.7238095238095238,0.7250791921141709,0.5954731371970122,0.9632557179829097,0.7193774039139682,0.6920653923772677
Fused pseudo sensitivity,SVM (RBF),3,0.7238095238095238,0.6312915479582146,0.7775238095238095,0.7238095238095238,0.7262025564396581,0.6281879055154956,0.9672321201919107,0.7525041922225967,0.6936270821014273
Fused pseudo sensitivity,SVM (RBF),4,0.7019230769230769,0.6137630887630886,0.7144459706959707,0.7019230769230769,0.6993190143190143,0.6025589225589225,0.9600444786413599,0.7209893270026669,0.6685289675686764
Fused pseudo sensitivity,SVM (RBF),5,0.7788461538461539,0.6150590150590152,0.7766025641025642,0.7788461538461539,0.7702427202427202,0.6142589920367698,0.9092214711274411,0.6689739127109751,0.7517619263209983
Fused pseudo sensitivity,SVM (RBF),6,0.7523809523809524,0.6644485144485145,0.7706267806267807,0.7523809523809524,0.7511456582633053,0.6505796763149703,0.954217560532938,0.7851847981001101,0.7250985173134965
Fused pseudo sensitivity,SVM (RBF),7,0.7211538461538461,0.6482258482258482,0.7549470457079153,0.7211538461538461,0.7267179249322108,0.6550779907922765,0.9666470527049348,0.7663697431921134,0.690569894216138
Fused pseudo sensitivity,SVM (RBF),8,0.7403846153846154,0.6614061864061864,0.7529828611559382,0.7403846153846154,0.7361374162444554,0.6642361191103329,0.9403580555514923,0.7231080890112949,0.7095708316025311
Fused pseudo sensitivity,SVM (RBF),9,0.6730769230769231,0.6126678876678876,0.7190229004087699,0.6730769230769231,0.6798465945082486,0.59130365596531,0.9250072805137513,0.6734484413887476,0.637668653005923
Fused pseudo sensitivity,SVM (RBF),10,0.7403846153846154,0.611975986975987,0.7490079365079365,0.7403846153846154,0.7370641377852916,0.6082163207163208,0.9360264437380726,0.7061433246076301,0.7112370173854794
