Dataset,Model,Class index,Class,Class Accuracy Mean,Class Accuracy Std,Class Accuracy CI95 Low,Class Accuracy CI95 High,Class Accuracy (mean ± std),Mean Support,Fold Count
Fused pseudo sensitivity,Logistic Regression,0,Akira,0.2333333333333333,0.21081851067789195,0.11666666666666665,0.35,"0.2333 ± 0.2108 [95% CI 0.1167, 0.3500]",2.6,10
Fused pseudo sensitivity,Logistic Regression,1,AsyncRAT,0.575,0.1544104678854144,0.475,0.6583333333333333,"0.5750 ± 0.1544 [95% CI 0.4750, 0.6583]",3.7,10
Fused pseudo sensitivity,Logistic Regression,2,Black Suit,0.225,0.27230724295894376,0.07479166666666667,0.3918749999999989,"0.2250 ± 0.2723 [95% CI 0.0748, 0.3919]",3.1,10
Fused pseudo sensitivity,Logistic Regression,3,CoinMiner,0.3,0.2698879511442471,0.15,0.45,"0.3000 ± 0.2699 [95% CI 0.1500, 0.4500]",2.4,10
Fused pseudo sensitivity,Logistic Regression,4,Kovter,0.694642857142857,0.12834249901008704,0.6195982142857143,0.7714285714285712,"0.6946 ± 0.1283 [95% CI 0.6196, 0.7714]",7.2,10
Fused pseudo sensitivity,Logistic Regression,5,MedusaLocker,0.2,0.2810913475705226,0.03333333333333333,0.36666666666666664,"0.2000 ± 0.2811 [95% CI 0.0333, 0.3667]",2.9,10
Fused pseudo sensitivity,Logistic Regression,6,NanoCore,0.5357142857142858,0.0906639655459989,0.48571428571428565,0.5928571428571427,"0.5357 ± 0.0907 [95% CI 0.4857, 0.5929]",6.9,10
Fused pseudo sensitivity,Logistic Regression,7,Phorpiex,0.7433333333333333,0.22057724494528969,0.61,0.8699999999999999,"0.7433 ± 0.2206 [95% CI 0.6100, 0.8700]",5.5,10
Fused pseudo sensitivity,Logistic Regression,8,QuasarRAT,0.6833333333333333,0.36387828652917364,0.45,0.8833333333333332,"0.6833 ± 0.3639 [95% CI 0.4500, 0.8833]",2.1,10
Fused pseudo sensitivity,Logistic Regression,9,SalatStealer,0.6571428571428571,0.23628944845623365,0.519047619047619,0.8,"0.6571 ± 0.2363 [95% CI 0.5190, 0.8000]",6.8,10
