Dataset,Model,Class index,Class,Precision Mean,Precision Std,Precision CI95 Low,Precision CI95 High,Recall Mean,Recall Std,Recall CI95 Low,Recall CI95 High,F1 Mean,F1 Std,F1 CI95 Low,F1 CI95 High,Mean Support,Fold Count
Fused pseudo sensitivity,Logistic Regression,0,Akira,0.21999999999999997,0.2079886036764016,0.1,0.33666666666666667,0.2333333333333333,0.21081851067789195,0.11666666666666665,0.35,0.21857142857142856,0.19642111577962248,0.1,0.3252380952380952,2.6,10
Fused pseudo sensitivity,Logistic Regression,1,AsyncRAT,0.575,0.22023273266744622,0.4451785714285715,0.7166964285714285,0.575,0.1544104678854144,0.475,0.6583333333333333,0.5560822510822511,0.1662459301531054,0.4537689393939394,0.6566931818181816,3.7,10
Fused pseudo sensitivity,Logistic Regression,2,Black Suit,0.24333333333333335,0.32812599206199233,0.06999999999999999,0.4533333333333333,0.225,0.27230724295894376,0.07479166666666667,0.3918749999999989,0.20666666666666664,0.23089258424543133,0.07222222222222222,0.34672222222222193,3.1,10
Fused pseudo sensitivity,Logistic Regression,3,CoinMiner,0.26666666666666666,0.3137782499209542,0.10833333333333332,0.4749999999999999,0.3,0.2698879511442471,0.15,0.45,0.26380952380952377,0.25129746461483504,0.12380952380952381,0.41438095238095185,2.4,10
Fused pseudo sensitivity,Logistic Regression,4,Kovter,0.7204761904761904,0.1464116865560652,0.6352380952380952,0.8147857142857141,0.694642857142857,0.12834249901008704,0.6195982142857143,0.7714285714285712,0.6986712633771457,0.1121483526161034,0.6369029663147311,0.7713299935358758,7.2,10
Fused pseudo sensitivity,Logistic Regression,5,MedusaLocker,0.16,0.22211108331943577,0.04,0.3,0.2,0.2810913475705226,0.03333333333333333,0.36666666666666664,0.16076923076923078,0.21244792841533772,0.04,0.2907692307692308,2.9,10
Fused pseudo sensitivity,Logistic Regression,6,NanoCore,0.7461904761904762,0.17306392226347014,0.635220238095238,0.8516666666666666,0.5357142857142858,0.0906639655459989,0.48571428571428565,0.5928571428571427,0.6198734598734598,0.11470661652040214,0.550915750915751,0.6903729603729603,6.9,10
Fused pseudo sensitivity,Logistic Regression,7,Phorpiex,0.6861904761904761,0.18056488725231276,0.5785416666666666,0.795,0.7433333333333333,0.22057724494528969,0.61,0.8699999999999999,0.702979242979243,0.1781592779426345,0.5968980463980464,0.8123809523809523,5.5,10
Fused pseudo sensitivity,Logistic Regression,8,QuasarRAT,0.5466666666666666,0.2936362072739365,0.36991666666666667,0.7166666666666666,0.6833333333333333,0.36387828652917364,0.45,0.8833333333333332,0.5442857142857143,0.2144567218883897,0.4004642857142857,0.6480952380952381,2.1,10
Fused pseudo sensitivity,Logistic Regression,9,SalatStealer,0.8183730158730158,0.21418264962178654,0.6811755952380951,0.9400000000000001,0.6571428571428571,0.23628944845623365,0.519047619047619,0.8,0.7065276390276389,0.19196060915943053,0.5895958208458209,0.8184667624042624,6.8,10
Fused pseudo sensitivity,Logistic Regression,10,Socks5Systemz,0.7666666666666666,0.2629368792488718,0.6,0.9166666666666666,0.85,0.24152294576982394,0.7,0.95,0.8,0.24494897427831783,0.64,0.93,2.0,10
Fused pseudo sensitivity,Logistic Regression,11,Stealc,0.5827380952380953,0.2097260703045325,0.4702232142857143,0.7166666666666666,0.7166666666666667,0.18509256943286312,0.6081249999999999,0.825,0.6335064935064935,0.18869647704850323,0.5312191558441558,0.752142857142857,3.9,10
Fused pseudo sensitivity,Logistic Regression,12,a310logger,0.7053571428571428,0.2822660358887993,0.5440476190476191,0.8762648809523806,0.6666666666666667,0.21872244094477253,0.5416666666666666,0.8,0.6156782106782107,0.11271376779286747,0.5493659812409811,0.6823371212121211,3.6,10
Fused pseudo sensitivity,Logistic Regression,13,agenttesla,0.3408333333333333,0.1586230293245554,0.24999999999999994,0.43833333333333335,0.6,0.2383067843280802,0.4666666666666666,0.75,0.4211183261183261,0.16986837606026545,0.325067821067821,0.5273077200577199,2.5,10
Fused pseudo sensitivity,Logistic Regression,14,lockbit,0.30273809523809525,0.18381374731282796,0.20249999999999999,0.4113095238095238,0.6,0.31622776601683794,0.4487500000000001,0.7512499999999932,0.38922799422799426,0.20987352957079425,0.27453499278499277,0.5124292929292928,2.1,10
Fused pseudo sensitivity,Logistic Regression,15,lumma,0.9066161616161617,0.09366760399824238,0.8495239898989899,0.9616161616161616,0.8933333333333333,0.10239920267179296,0.8266388888888888,0.9466944444444443,0.8981969629957245,0.08964389730094421,0.8409628482972136,0.9475223721067375,9.6,10
Fused pseudo sensitivity,Logistic Regression,16,redline,0.9270176346663762,0.05968016732673377,0.8917354187098181,0.9640995082815736,0.7115384615384615,0.09636728447674942,0.6537499999999999,0.7692307692307692,0.8016298500253285,0.07114168087344117,0.7575558760924144,0.8428586913989413,26.0,10
Fused pseudo sensitivity,Logistic Regression,17,wannacry,0.9665501165501164,0.043309691543081764,0.9414335664335663,0.9916666666666666,0.9568181818181818,0.060189011203763486,0.915909090909091,0.990909090909091,0.9600127987954077,0.0334627723812267,0.9375019762845849,0.9782608695652174,11.5,10
Fused pseudo sensitivity,Random Forest,0,Akira,0.05,0.10540925533894599,0.0,0.125,0.08333333333333333,0.18002057495577392,0.0,0.2,0.06190476190476191,0.13098845102081116,0.0,0.15238095238095237,2.6,10
Fused pseudo sensitivity,Random Forest,1,AsyncRAT,0.9071428571428571,0.15721499065923025,0.8142857142857143,0.975,1.0,0.0,1.0,1.0,0.9441558441558442,0.09661538547848417,0.8883116883116882,0.9857142857142858,3.7,10
Fused pseudo sensitivity,Random Forest,2,Black Suit,0.475,0.351473968619703,0.275,0.6916666666666667,0.39166666666666666,0.30944494314741383,0.225,0.5835416666666654,0.3985714285714286,0.2695988640426204,0.24,0.5533452380952382,3.1,10
Fused pseudo sensitivity,Random Forest,3,CoinMiner,0.8999999999999998,0.16101529717988267,0.8,1.0,0.8,0.2698879511442471,0.6333333333333332,0.95,0.8099999999999999,0.18328282132429266,0.6966666666666667,0.9166666666666666,2.4,10
Fused pseudo sensitivity,Random Forest,4,Kovter,0.9833333333333334,0.05270462766947298,0.95,1.0,0.9142857142857143,0.12046772038736683,0.8428571428571429,0.9857142857142858,0.9448717948717948,0.0833168951571534,0.8923076923076924,0.9923076923076923,7.2,10
Fused pseudo sensitivity,Random Forest,5,MedusaLocker,0.2616666666666666,0.20817401315506798,0.13666666666666666,0.3833333333333333,0.3333333333333333,0.2721655269759087,0.16666666666666666,0.5,0.2796031746031746,0.21185572690957263,0.15515873015873013,0.39835912698412684,2.9,10
Fused pseudo sensitivity,Random Forest,6,NanoCore,0.8593253968253969,0.09743322853115288,0.798204365079365,0.9166666666666667,0.911904761904762,0.10166787479301509,0.8523809523809524,0.9714285714285715,0.8807783882783882,0.0793571007776913,0.8301339285714286,0.9281462912087913,6.9,10
Fused pseudo sensitivity,Random Forest,7,Phorpiex,0.9690476190476192,0.06549422551040558,0.9261904761904762,1.0,1.0,0.0,1.0,1.0,0.9832167832167832,0.035535364102861546,0.9601398601398602,1.0,5.5,10
Fused pseudo sensitivity,Random Forest,8,QuasarRAT,1.0,0.0,1.0,1.0,0.85,0.24152294576982394,0.7,1.0,0.9,0.16101529717988267,0.8,1.0,2.1,10
Fused pseudo sensitivity,Random Forest,9,SalatStealer,0.9482142857142858,0.06705351198399495,0.9071428571428571,0.9875,0.9404761904761905,0.10240863413145983,0.8714285714285716,1.0,0.9388578088578088,0.05145247869093848,0.9079487179487179,0.9698834498834499,6.8,10
Fused pseudo sensitivity,Random Forest,10,Socks5Systemz,1.0,0.0,1.0,1.0,0.95,0.15811388300841897,0.85,1.0,0.9666666666666666,0.10540925533894599,0.8999999999999998,1.0,2.0,10
Fused pseudo sensitivity,Random Forest,11,Stealc,0.9349999999999999,0.10554093465991708,0.875,1.0,0.95,0.10540925533894598,0.875,1.0,0.9349206349206349,0.0695721929040275,0.8920634920634921,0.9746031746031747,3.9,10
Fused pseudo sensitivity,Random Forest,12,a310logger,0.8716666666666667,0.1822442398622326,0.755,0.975,0.8,0.24279748203791285,0.6499999999999999,0.925,0.8162698412698413,0.1852317590715509,0.6955555555555556,0.9133472222222222,3.6,10
Fused pseudo sensitivity,Random Forest,13,agenttesla,0.8833333333333332,0.19325030145473432,0.7666666666666666,1.0,0.75,0.22566773346211003,0.6166666666666667,0.8833333333333332,0.7966666666666666,0.18885620632287062,0.6833333333333333,0.9100833333333328,2.5,10
Fused pseudo sensitivity,Random Forest,14,lockbit,0.8,0.42163702135578396,0.5,1.0,0.6,0.39440531887330776,0.35,0.8012499999999932,0.6666666666666667,0.3849001794597505,0.4333333333333333,0.8666666666666668,2.1,10
Fused pseudo sensitivity,Random Forest,15,lumma,0.9888888888888889,0.03513641844631534,0.9666666666666666,1.0,0.9177777777777779,0.07964254847831473,0.8688888888888888,0.9677777777777777,0.9508083935328517,0.05326961495438422,0.9180254557963536,0.9823529411764707,9.6,10
Fused pseudo sensitivity,Random Forest,16,redline,0.9129620507206715,0.044566777285892055,0.8860572660098522,0.9402123015873015,0.9884615384615385,0.018578688136140293,0.976923076923077,1.0,0.948805712107599,0.028917914901867955,0.9310846560846562,0.9657281643932589,26.0,10
Fused pseudo sensitivity,Random Forest,17,wannacry,0.9923076923076923,0.02432521277052598,0.976923076923077,1.0,0.9651515151515152,0.045060016208475696,0.9386363636363635,0.9916666666666666,0.9777805383022773,0.02352025355921663,0.9639089026915114,0.9912380952380954,11.5,10
Fused pseudo sensitivity,SVM (RBF),0,Akira,0.23333333333333334,0.32346503617799194,0.05833333333333333,0.4418749999999989,0.1833333333333333,0.1995364999563108,0.06666666666666667,0.3,0.19714285714285712,0.23337328240241942,0.06190476190476191,0.33999999999999997,2.6,10
Fused pseudo sensitivity,SVM (RBF),1,AsyncRAT,0.8433333333333334,0.20730486883326044,0.7132499999999999,0.9666666666666666,0.8416666666666666,0.18193914326458685,0.7333333333333333,0.95,0.8235714285714286,0.15481867090786566,0.7271249999999999,0.915,3.7,10
Fused pseudo sensitivity,SVM (RBF),2,Black Suit,0.4,0.32923405311175674,0.22333333333333333,0.6,0.3833333333333333,0.3337959752399956,0.2,0.5833333333333333,0.3794444444444444,0.30474133941855885,0.21333333333333332,0.5583749999999997,3.1,10
Fused pseudo sensitivity,SVM (RBF),3,CoinMiner,0.7333333333333332,0.34426518632954817,0.5333333333333332,0.9333333333333332,0.4333333333333333,0.08606629658238704,0.38333333333333336,0.4833333333333333,0.5133333333333333,0.14332902663641864,0.4333333333333333,0.6,2.4,10
Fused pseudo sensitivity,SVM (RBF),4,Kovter,0.6980411255411256,0.13435779863205044,0.620523088023088,0.7777073412698411,0.7482142857142857,0.14879761857139048,0.6589285714285714,0.8375,0.7122556390977445,0.11321416995311345,0.6466602443609022,0.7827380952380951,7.2,10
Fused pseudo sensitivity,SVM (RBF),5,MedusaLocker,0.085,0.14539218991709593,0.0,0.18012499999999934,0.13333333333333333,0.23306863292670035,0.0,0.29999999999999993,0.10357142857142856,0.17853174162159488,0.0,0.225,2.9,10
Fused pseudo sensitivity,SVM (RBF),6,NanoCore,0.6725,0.09329440190632939,0.6157142857142858,0.7257202380952381,0.6238095238095238,0.06900655593423545,0.5857142857142856,0.6666666666666667,0.643076923076923,0.058763327089586814,0.6068772893772894,0.6761904761904762,6.9,10
Fused pseudo sensitivity,SVM (RBF),7,Phorpiex,0.7311507936507937,0.12839974411607546,0.6617013888888887,0.8125148809523809,0.7566666666666666,0.14405931562989283,0.6666666666666666,0.8234166666666661,0.7326950826950827,0.11017747811084726,0.6663170163170165,0.7946681096681099,5.5,10
