Family,Samples,Proportion,Relative to largest class
redline,260,0.24904214559386972,1.0
wannacry,115,0.11015325670498084,0.4423076923076923
lumma,96,0.09195402298850575,0.36923076923076925
Kovter,72,0.06896551724137931,0.27692307692307694
NanoCore,69,0.06609195402298851,0.2653846153846154
SalatStealer,68,0.06513409961685823,0.26153846153846155
Phorpiex,55,0.05268199233716475,0.21153846153846154
Stealc,39,0.03735632183908046,0.15
AsyncRAT,37,0.035440613026819924,0.1423076923076923
a310logger,36,0.034482758620689655,0.13846153846153847
Black Suit,31,0.029693486590038315,0.11923076923076924
MedusaLocker,29,0.027777777777777776,0.11153846153846154
Akira,26,0.02490421455938697,0.1
agenttesla,25,0.023946360153256706,0.09615384615384616
CoinMiner,24,0.022988505747126436,0.09230769230769231
QuasarRAT,21,0.020114942528735632,0.08076923076923077
lockbit,21,0.020114942528735632,0.08076923076923077
Socks5Systemz,20,0.019157088122605363,0.07692307692307693
