Model,Validation,Strategy,Metric,Mean,Std,CI95 Low,CI95 High
Random Forest,StratifiedGroupKFold(n_splits=10),No resampling,accuracy,0.8792582417582417,0.02423876756059765,0.8649354395604396,0.8936371336996337
Random Forest,StratifiedGroupKFold(n_splits=10),No resampling,balanced_accuracy,0.7767768342768342,0.035823296430870524,0.7579917613250948,0.799236961341128
Random Forest,StratifiedGroupKFold(n_splits=10),No resampling,macro_f1,0.7851873340931685,0.03504810326249299,0.7659347940499462,0.805121415920698
Random Forest,StratifiedGroupKFold(n_splits=10),No resampling,auroc,0.9904639931989418,0.00277590644464181,0.9888240893955423,0.992093903567025
Random Forest,StratifiedGroupKFold(n_splits=10),No resampling,auprc,0.8676662851439085,0.021401048743304885,0.8562345466166951,0.8809970934172169
Random Forest,StratifiedGroupKFold(n_splits=10),No resampling,mcc,0.865108990781794,0.027478991311290276,0.8488650962242532,0.8815025856477
Random Forest,StratifiedGroupKFold(n_splits=10),Training-fold SMOTE,accuracy,0.8802289377289376,0.024207694502909056,0.8657220695970695,0.8945970695970695
Random Forest,StratifiedGroupKFold(n_splits=10),Training-fold SMOTE,balanced_accuracy,0.7859106017439351,0.03675217326192375,0.7645386897053563,0.8090101896560229
Random Forest,StratifiedGroupKFold(n_splits=10),Training-fold SMOTE,macro_f1,0.7889191724773993,0.03343340874110234,0.7691400352263129,0.8088744655688028
Random Forest,StratifiedGroupKFold(n_splits=10),Training-fold SMOTE,auroc,0.9904903412625032,0.0029228933735478417,0.9886168664862439,0.992063455924953
Random Forest,StratifiedGroupKFold(n_splits=10),Training-fold SMOTE,auprc,0.8601068526501663,0.02488591253735622,0.8452272453674224,0.8743449357006637
Random Forest,StratifiedGroupKFold(n_splits=10),Training-fold SMOTE,mcc,0.8662412455686296,0.027363493110132617,0.8497418850859683,0.8824028967577705
