Actual,Predicted,Count,Rate,Dataset,Model
Akira,MedusaLocker,17.0,0.6538461538461539,Fused pseudo sensitivity,XGBoost
Black Suit,MedusaLocker,11.0,0.3548387096774194,Fused pseudo sensitivity,XGBoost
MedusaLocker,Black Suit,10.0,0.3448275862068966,Fused pseudo sensitivity,XGBoost
MedusaLocker,Akira,9.0,0.3103448275862069,Fused pseudo sensitivity,XGBoost
Black Suit,Akira,9.0,0.2903225806451613,Fused pseudo sensitivity,XGBoost
lockbit,redline,7.0,0.3333333333333333,Fused pseudo sensitivity,XGBoost
agenttesla,redline,7.0,0.28,Fused pseudo sensitivity,XGBoost
lumma,redline,6.0,0.0625,Fused pseudo sensitivity,XGBoost
redline,agenttesla,6.0,0.023076923076923078,Fused pseudo sensitivity,XGBoost
CoinMiner,Stealc,5.0,0.20833333333333334,Fused pseudo sensitivity,XGBoost
Akira,Black Suit,5.0,0.19230769230769232,Fused pseudo sensitivity,XGBoost
a310logger,NanoCore,4.0,0.1111111111111111,Fused pseudo sensitivity,XGBoost
